chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'1'	2730000	2744000	1131	1.5722578211339307e-09	6.635467938751735e-10	2.1406416111678083e-09
b'1'	2744000	2758000	928	1.0083334567181097e-09	2.6464194279116235e-10	1.8390169675843465e-09
b'1'	2758000	2772000	1319	5.151836413787486e-10	5.110019193137639e-11	1.4666604442805003e-09
b'1'	2772000	2786000	1376	1.0166528001458812e-09	3.0631307838028526e-10	1.8650461279583832e-09
b'1'	2786000	2800000	998	9.997722173369792e-10	2.5608070341003183e-10	1.830455728203216e-09
b'1'	2800000	2814000	1080	2.383200725261289e-10	0	1.1533790622183701e-09
b'1'	2814000	2828000	1119	7.935366628552836e-10	1.5248634447126585e-10	1.7046841036849354e-09
b'1'	2828000	2842000	1471	7.652146914569798e-10	1.441693762824954e-10	1.64877009252253e-09
b'1'	2842000	2856000	1485	1.163866131007742e-09	3.8922742088623065e-10	1.8986373915098847e-09
b'1'	2856000	2870000	1472	1.2349002899726586e-09	3.78661752955663e-10	1.9161037225236173e-09
b'1'	2870000	2884000	922	1.7736716920483743e-09	8.667633575069402e-10	2.243027623946382e-09
b'1'	2884000	2898000	1111	1.2383376040968138e-09	3.820990670798182e-10	1.9195410366477722e-09
b'1'	2898000	2912000	1542	1.2419187487620715e-09	3.856802117450759e-10	1.92312218131303e-09
b'1'	2912000	2926000	1489	7.912807041964307e-10	1.5023038581241292e-10	1.7024281450260824e-09
b'1'	2926000	2940000	1203	7.107493471695295e-10	1.3040265146957818e-10	1.6401388569656815e-09
b'1'	2940000	2954000	1546	1.8191318197771928e-10	0	1.0924295831424032e-09
b'1'	2954000	2968000	681	2.460963118784008e-09	1.6230695586934446e-09	2.838422615775869e-09
b'1'	2968000	2982000	946	1.914467817272475e-09	1.0413021719293538e-09	2.3772186049611234e-09
b'1'	2982000	2996000	1102	1.302842424341746e-09	4.101369953186575e-10	1.9309185598865766e-09
b'1'	2996000	3010000	1060	1.8854771092976713e-09	1.0351004124605973e-09	2.364248948138712e-09
b'1'	3010000	3024000	1096	7.311848781688013e-10	1.5083818246884992e-10	1.6605743879649534e-09
b'1'	3024000	3038000	1124	2.1486693687820585e-09	1.283584237474606e-09	2.5596807714721233e-09
b'1'	3038000	3052000	905	4.365989325650469e-10	4.830718103539005e-11	1.380195322477973e-09
b'1'	3052000	3066000	1264	5.540956902782802e-10	1.0444091575242633e-10	1.5063881129739574e-09
b'1'	3066000	3080000	1098	5.188500134194113e-10	5.4766563972039036e-11	1.4703268163211632e-09
b'1'	3080000	3094000	1258	3.411919956266261e-10	9.217317324032667e-12	1.3232826738520373e-09
b'1'	3094000	3108000	1122	6.999614339453203e-10	1.55372465580031e-10	1.632286106965055e-09
b'1'	3108000	3122000	997	4.706259084478707e-10	1.173951887737904e-10	1.3837173636714288e-09
b'1'	3122000	3136000	1380	7.154183619651746e-10	1.350716662652232e-10	1.6448078717613265e-09
b'1'	3136000	3150000	1649	9.383077941717701e-10	2.1009930899280964e-10	1.7687733016448918e-09
b'1'	3150000	3164000	1371	3.999413667196417e-10	4.355100782862946e-11	1.3446394309399034e-09
b'1'	3164000	3178000	1367	6.992272325025781e-10	1.546382641372888e-10	1.6315519055223128e-09
b'1'	3178000	3192000	1616	1.7378558047945995e-10	0	1.0843019816441439e-09
b'1'	3192000	3206000	1302	2.0007574005377857e-09	1.1920508182818278e-09	2.4410223639128e-09
b'1'	3206000	3220000	1263	1.2398049852506047e-09	3.835664482336091e-10	1.9210084178015634e-09
b'1'	3220000	3234000	1300	4.227225203131623e-10	3.4430768783505407e-11	1.3663189102260885e-09
b'1'	3234000	3248000	1325	1.3000757991984496e-09	4.0737037017536116e-10	1.92815193474328e-09
b'1'	3248000	3262000	1407	1.513108395438555e-09	6.87243387113733e-10	2.0745699504650097e-09
b'1'	3262000	3276000	1380	2.226695353298514e-10	0	1.1377285250220927e-09
b'1'	3276000	3290000	1252	1.923096814909081e-09	1.0499311695659597e-09	2.3858476025977293e-09
b'1'	3290000	3304000	1011	2.368928379518051e-10	0	1.1519518276440463e-09
b'1'	3304000	3318000	1001	5.272063332952921e-10	6.312288384791987e-11	1.4786831361970438e-09
b'1'	3318000	3332000	670	4.634740357965713e-10	1.1024331612249102e-10	1.3765654910201295e-09
b'1'	3332000	3346000	610	1.7299483328454424e-09	8.493321584197456e-10	2.2387333802715724e-09
b'1'	3346000	3360000	1184	9.599854020262843e-10	2.3177691684732376e-10	1.7904509094994059e-09
b'1'	3360000	3374000	988	1.925583360966946e-09	1.0524177156238247e-09	2.3883341486555944e-09
b'1'	3374000	3388000	1008	3.140752811084328e-10	0	1.237481754615959e-09
b'1'	3388000	3402000	678	1.8106026866054627e-09	8.859522734244464e-10	2.3182540186877665e-09
b'1'	3402000	3416000	1023	2.8872219940123577e-09	2.156845673477726e-09	3.2186355794760933e-09
b'1'	3416000	3430000	1022	6.371435368244532e-10	1.4659037206857295e-10	1.5975645073549595e-09
b'1'	3430000	3444000	1261	1.977939464891583e-09	1.1296746037608177e-09	2.4053235319170543e-09
b'1'	3444000	3458000	1103	1.5881046939459943e-09	7.152520801480024e-10	2.121126109839836e-09
b'1'	3458000	3472000	1303	8.801598243968053e-10	1.9846268399346856e-10	1.7626779052326417e-09
b'1'	3472000	3486000	943	4.603766437077343e-10	1.0714592403365404e-10	1.3734680989312924e-09
b'1'	3486000	3500000	1172	2.8775179851125307e-09	2.1471416645778992e-09	3.2089315705762663e-09
b'1'	3500000	3514000	1093	1.2673434423459954e-09	4.111049053289998e-10	1.948546874896954e-09
b'1'	3514000	3528000	963	1.4351725619436374e-09	6.094670774018874e-10	2.0438673065518667e-09
b'1'	3528000	3542000	1107	2.0609933782122093e-09	1.2535267069079405e-09	2.4951652766457423e-09
b'1'	3542000	3556000	997	1.3141841943853178e-09	4.214787653622294e-10	1.9422603299301482e-09
b'1'	3556000	3570000	1357	2.1703227717727595e-09	1.3760647846149392e-09	2.5824894947467096e-09
b'1'	3570000	3584000	1117	1.5402570606229108e-09	6.720248092509077e-10	2.11765251984544e-09
b'1'	3584000	3598000	431	4.2095036332207623e-10	6.456000443106399e-11	1.365648427542338e-09
b'1'	3598000	3612000	803	1.2698920586042375e-09	4.136535215872419e-10	1.951095491155196e-09
b'1'	3612000	3626000	731	6.905613030032967e-10	1.4597233463800738e-10	1.6228859760230315e-09
b'1'	3626000	3640000	455	5.611254297040627e-11	0	8.177474231346366e-10
b'1'	3640000	3654000	390	8.38046001592309e-11	0	8.911681706023178e-10
b'1'	3654000	3668000	648	1.8795258461470315e-09	1.0291491493099575e-09	2.3582976849880724e-09
b'1'	3668000	3682000	617	1.0083656963621604e-09	2.980259745965644e-10	1.8567590241746626e-09
b'1'	3682000	3696000	662	1.206776658344383e-09	4.274376386368795e-10	1.8895218132007174e-09
b'1'	3696000	3710000	945	1.733540467356476e-09	8.529242929307792e-10	2.2423255147826062e-09
b'1'	3710000	3724000	634	4.983321457978186e-10	3.424869635044637e-11	1.4498089486995704e-09
b'1'	3724000	3738000	987	7.586784320252864e-10	1.7833173632533506e-10	1.6880679418214383e-09
b'1'	3738000	3752000	877	7.519314143274453e-10	1.7158471862749393e-10	1.6813209241235972e-09
b'1'	3752000	3766000	1080	3.940845007442883e-10	9.305088326626906e-11	1.3119686028027966e-09
b'1'	3766000	3780000	893	1.1255313854040912e-09	3.4215614295166907e-10	1.8748266445766466e-09
b'1'	3780000	3794000	1070	1.012810503351806e-09	3.024707815862101e-10	1.8612038311643083e-09
b'1'	3794000	3808000	766	1.582800361399305e-09	7.09947747601313e-10	2.1158217772931465e-09
b'1'	3808000	3822000	797	1.3004900864798586e-09	4.077846574567701e-10	1.928566222024689e-09
b'1'	3822000	3836000	988	1.4356205912912153e-09	6.099151067494653e-10	2.0443153358994446e-09
b'1'	3836000	3850000	692	2.8744540858870106e-09	2.144077765352379e-09	3.2058676713507462e-09
b'1'	3850000	3864000	1289	1.701493885505713e-09	8.744934285013674e-10	2.226055546280904e-09
b'1'	3864000	3878000	1237	2.0856032142934503e-09	1.2392942386162824e-09	2.512567972286981e-09
b'1'	3878000	3892000	1213	1.4292427177781321e-09	6.035372332363821e-10	2.0379374623863614e-09
b'1'	3892000	3906000	627	4.5264323128086526e-10	9.941251160678499e-11	1.3657346865044235e-09
b'1'	3906000	3920000	520	2.448363283829615e-10	0	1.1598953180752028e-09
b'1'	3920000	3934000	916	6.503650994360762e-10	1.1489435391422739e-10	1.5384172729005134e-09
b'1'	3934000	3948000	934	9.312633836943578e-10	2.25104294158051e-10	1.7668600089203896e-09
b'1'	3948000	3962000	804	3.86256142030784e-10	8.522252455276476e-11	1.3041402440892923e-09
b'1'	3962000	3976000	985	9.015870605667924e-10	1.9916845117832588e-10	1.7137130770030022e-09
b'1'	3976000	3990000	1103	1.3841980493814556e-10	0	9.710709973776161e-10
b'1'	3990000	4004000	1019	1.2285771839481585e-09	4.49238164240655e-10	1.911322338804493e-09
