chrom	start	end	nSites	recombRate	CI95LO	CI95HI	recomb_cM_Mb	recomb_quantile_100
b'1'	672000	686000	1047	7.56085077625028e-10	1.75738381925077e-10	1.68547458742118e-09	0.0756085077625028	28
b'1'	686000	700000	1215	8.06302377995532e-10	1.65252059611515e-10	1.71744981882518e-09	0.0806302377995532	32
b'1'	700000	714000	1411	1.03751644362231e-09	3.17187712237253e-10	1.83115827920592e-09	0.103751644362231	45
b'1'	714000	728000	928	4.96289390589882e-10	1.06387721305561e-10	1.4384812734366e-09	0.0496289390589882	13
b'1'	728000	742000	849	5.10166390517634e-10	4.60829410702613e-11	1.46164319341939e-09	0.0510166390517634	14
b'1'	742000	756000	1267	9.84751602649999e-10	2.41060088723052e-10	1.81543511351624e-09	0.0984751602649999	42
b'1'	756000	770000	1381	2.15256734995343e-09	1.28748221864597e-09	2.56357875264349e-09	0.215256734995343	88
b'1'	770000	784000	820	5.22971490119486e-10	1.33069820835165e-10	1.46516337296621e-09	0.0522971490119486	15
b'1'	784000	798000	1276	1.8517226110688e-09	1.08397592539843e-09	2.28202577083957e-09	0.18517226110688	80
b'1'	798000	812000	1186	1.25701042895674e-09	4.20955989388714e-10	1.94236904326192e-09	0.125701042895674	57
b'1'	812000	826000	1413	2.11414766034505e-09	1.30461758403837e-09	2.50747273285694e-09	0.211414766034505	86
b'1'	826000	840000	1551	2.08364089135518e-09	1.23733191567801e-09	2.51060564934871e-09	0.208364089135518	85
b'1'	840000	854000	1276	9.61400874225991e-10	2.33192389047031e-10	1.79186638169911e-09	0.0961400874225991	41
b'1'	854000	868000	1419	1.27188734704915e-09	4.35832907481125e-10	1.95724596135433e-09	0.127188734704915	59
b'1'	868000	882000	546	1.37091852780083e-10	0	9.69743045219553e-10	0.0137091852780083	2
b'1'	882000	896000	828	6.51408711139937e-10	1.15937965618089e-10	1.53946088460437e-09	0.0651408711139937	22
b'1'	896000	910000	1105	1.2115638124246e-09	4.32224792717097e-10	1.89430896728094e-09	0.12115638124246	55
b'1'	910000	924000	640	1.35333449657868e-09	4.994055440298e-10	1.95970481720028e-09	0.135333449657868	61
b'1'	924000	938000	756	1.94092209631677e-09	1.13855464050679e-09	2.41535617722718e-09	0.194092209631677	82
b'1'	938000	952000	895	4.52498494264388e-10	9.92677745903079e-11	1.36558994948795e-09	0.0452498494264388	11
b'1'	952000	966000	927	2.47917273083562e-10	0	1.1629762627758e-09	0.0247917273083562	4
b'1'	966000	980000	1248	8.59608690815274e-10	2.31511358337345e-10	1.75237219282922e-09	0.0859608690815273	36
b'1'	980000	994000	921	2.60566023660897e-09	1.8762004745701e-09	2.9403066027825e-09	0.260566023660897	93
b'1'	994000	1008000	1014	1.22327543376602e-09	4.4393641405852e-10	1.90602058862236e-09	0.122327543376602	55
b'1'	1008000	1022000	511	8.26026210569603e-10	1.84975892185585e-10	1.73717365139925e-09	0.0826026210569603	33
b'1'	1022000	1036000	1177	1.53087277898228e-09	6.62640527610275e-10	2.10826823820481e-09	0.153087277898228	69
b'1'	1036000	1050000	1168	2.29237523609817e-09	1.54324727643319e-09	2.64263167661595e-09	0.229237523609817	90
b'1'	1050000	1064000	644	1.43756333635603e-09	5.75335201632331e-10	2.01956678179338e-09	0.143756333635603	66
b'1'	1064000	1078000	1056	1.07892446165244e-09	2.86914731630637e-10	1.81348818261347e-09	0.107892446165244	48
b'1'	1078000	1092000	504	1.06616982493271e-09	3.45841093547658e-10	1.85981166051633e-09	0.106616982493271	47
b'1'	1092000	1106000	1040	7.89448365465797e-10	1.48398047081779e-10	1.70059580629545e-09	0.0789448365465796	31
b'1'	1106000	1120000	878	2.9690832868133e-09	2.23870696627867e-09	3.30049687227704e-09	0.29690832868133	99
b'1'	1120000	1134000	816	1.437368571867e-09	5.75140437143302e-10	2.01937201730435e-09	0.1437368571867	66
b'1'	1134000	1148000	429	3.51501019210687e-10	1.95263409080935e-11	1.3335916974361e-09	0.0351501019210687	7
b'1'	1148000	1162000	1051	1.2228715600488e-09	4.43532540341292e-10	1.90561671490513e-09	0.12228715600488	55
b'1'	1162000	1176000	990	1.05782512092268e-10	0	8.29489326013245e-10	0.0105782512092268	1
b'1'	1176000	1190000	730	5.45708070524181e-10	9.60532959983267e-11	1.49800049321986e-09	0.0545708070524181	16
b'1'	1190000	1204000	860	1.30483916219389e-09	4.12133733170797e-10	1.93291529773872e-09	0.130483916219389	60
b'1'	1204000	1218000	924	5.18295287870723e-10	5.42118384233512e-11	1.46977209077248e-09	0.0518295287870723	15
b'1'	1218000	1232000	1449	5.72157946815284e-10	8.09546937428924e-11	1.51057497423377e-09	0.0572157946815284	18
b'1'	1232000	1246000	995	3.86043821200828e-10	8.50102037228088e-11	1.30392792325934e-09	0.0386043821200828	8
b'1'	1246000	1260000	1051	3.76502143038834e-10	7.54685255608145e-11	1.29438624509734e-09	0.0376502143038834	8
b'1'	1260000	1274000	875	2.23200278409862e-09	1.40070414861447e-09	2.60075738317687e-09	0.223200278409862	89
b'1'	1274000	1288000	705	1.07241209959017e-09	2.80402369568368e-10	1.80697582055121e-09	0.107241209959017	47
b'1'	1288000	1302000	698	7.58240994545264e-10	1.54033843567066e-10	1.65739338597672e-09	0.0758240994545264	29
b'1'	1302000	1316000	683	2.40492124584693e-10	0	1.15555111427693e-09	0.0240492124584693	4
b'1'	1316000	1330000	649	8.00363251023788e-10	1.5931293263977e-10	1.71151069185344e-09	0.0800363251023788	32
b'1'	1330000	1344000	542	2.13012280511001e-10	0	1.15558870020453e-09	0.0213012280511001	3
b'1'	1344000	1358000	719	4.50534875471288e-10	9.73041557972079e-11	1.36362633069485e-09	0.0450534875471288	11
b'1'	1358000	1372000	442	7.65209404056876e-10	1.61002253078678e-10	1.66436179548833e-09	0.0765209404056876	29
b'1'	1372000	1386000	681	1.26807426928948e-09	4.32019829721454e-10	1.95343288359466e-09	0.126807426928948	59
b'1'	1386000	1400000	704	1.70885120098825e-09	8.81850743983906e-10	2.23341286176344e-09	0.170885120098825	76
b'1'	1400000	1414000	891	3.07079302606609e-10	2.85287727424674e-11	1.20775158380766e-09	0.0307079302606609	6
b'1'	1414000	1428000	453	1.82910514316185e-09	1.02744970945982e-09	2.28621345547468e-09	0.182910514316185	79
b'1'	1428000	1442000	788	7.52079141778147e-10	1.71732446078196e-10	1.6814686515743e-09	0.0752079141778147	28
b'1'	1442000	1456000	769	2.08304549590104e-09	1.23673652022387e-09	2.51001025389457e-09	0.208304549590104	85
b'1'	1456000	1470000	939	2.25842019555101e-09	1.42068579148214e-09	2.65530705781492e-09	0.225842019555101	89
b'1'	1470000	1484000	305	8.32061732787592e-10	2.03964400309664e-10	1.72482523480154e-09	0.0832061732787592	33
b'1'	1484000	1498000	1184	1.69239869115134e-09	8.577152743231e-10	2.21897420212425e-09	0.169239869115134	75
b'1'	1498000	1512000	1157	1.23789822520324e-09	3.81659688186242e-10	1.9191016577542e-09	0.123789822520324	56
b'1'	1512000	1526000	1385	1.25633832263466e-09	4.20283883066634e-10	1.94169693693984e-09	0.125633832263466	57
b'1'	1526000	1540000	1035	1.38995748805026e-09	5.71007882697923e-10	2.0059883255028e-09	0.138995748805026	64
b'1'	1540000	1554000	1056	2.84176455288391e-09	2.11138823234928e-09	3.17317813834765e-09	0.284176455288391	97
b'1'	1554000	1568000	448	1.59663012287728e-09	7.23777509079292e-10	2.12965153877113e-09	0.159663012287728	73
b'1'	1568000	1582000	1260	1.06154290049878e-09	3.41214169113725e-10	1.85518473608240e-09	0.106154290049878	46
b'1'	1582000	1596000	510	5.03117648417495e-10	1.13215979133174e-10	1.44530953126422e-09	0.0503117648417495	13
b'1'	1596000	1610000	747	2.58279971297479e-09	1.76351299117659e-09	2.91971991027171e-09	0.258279971297479	93
b'1'	1610000	1624000	597	6.62603396045838e-10	1.72050231289958e-10	1.62302436657634e-09	0.0662603396045838	23
b'1'	1624000	1638000	1030	1.44154446405899e-09	5.79316329335289e-10	2.02354790949634e-09	0.144154446405899	66
b'1'	1638000	1652000	676	1.05454707867344e-09	3.34218347288387e-10	1.84818891425706e-09	0.105454707867344	46
b'1'	1652000	1666000	973	2.84022403069304e-09	2.10984771015841e-09	3.17163761615678e-09	0.284022403069304	97
b'1'	1666000	1680000	1383	2.84559503288776e-09	2.16211245679624e-09	3.19345947014341e-09	0.284559503288776	97
b'1'	1680000	1694000	1418	3.92972059212688e-10	9.19384417346686e-11	1.3108561612712e-09	0.0392972059212688	9
b'1'	1694000	1708000	1343	1.24663071366927e-09	3.90392176652274e-10	1.92783414622023e-09	0.124663071366927	57
b'1'	1708000	1722000	1247	2.1739307306649e-09	1.37967274350708e-09	2.58609745363885e-09	0.21739307306649	88
b'1'	1722000	1736000	1242	2.60785372011281e-09	1.87839395807394e-09	2.94250008628634e-09	0.260785372011281	93
b'1'	1736000	1750000	1307	2.02529471230314e-09	1.23915562791762e-09	2.43323105256629e-09	0.202529471230314	84
b'1'	1750000	1764000	1211	1.55572989053612e-09	6.47018863277359e-10	2.12411368056999e-09	0.155572989053612	70
b'1'	1764000	1778000	1047	1.97936440679967e-09	1.1310995456689e-09	2.40674847382514e-09	0.197936440679967	83
b'1'	1778000	1792000	1170	1.06343121018999e-09	3.43102478804933e-10	1.8570730457736e-09	0.106343121018999	46
b'1'	1792000	1806000	1259	1.97628211640367e-09	1.1280172552729e-09	2.40366618342914e-09	0.197628211640367	83
b'1'	1806000	1820000	1140	1.05409878766287e-09	3.33770056277814e-10	1.84774062324648e-09	0.105409878766287	46
b'1'	1820000	1834000	1589	1.0223956493888e-09	3.02066918003744e-10	1.81603748497241e-09	0.10223956493888	44
b'1'	1834000	1848000	1352	2.89250359925894e-09	2.16212727872431e-09	3.22391718472267e-09	0.289250359925894	98
b'1'	1848000	1862000	1603	1.58647231558385e-09	7.13619701785862e-10	2.1194937314777e-09	0.158647231558385	72
b'1'	1862000	1876000	976	2.236530401196e-09	1.40523176571186e-09	2.60528500027426e-09	0.2236530401196	89
b'1'	1876000	1890000	801	2.90563265215749e-09	2.17525633162286e-09	3.23704623762123e-09	0.290563265215749	99
b'1'	1890000	1904000	973	2.83061342302217e-09	2.10023710248754e-09	3.1620270084859e-09	0.283061342302217	96
b'1'	1904000	1918000	1205	1.12848438313037e-09	3.45109140677951e-10	1.87777964230293e-09	0.112848438313037	50
b'1'	1918000	1932000	848	3.13022403118669e-09	2.39984771065206e-09	3.46163761665043e-09	0.313022403118669	100
b'1'	1932000	1946000	1300	2.64514722383202e-09	1.94006024891501e-09	2.97146018381821e-09	0.264514722383202	94
b'1'	1946000	1960000	809	7.49228129134983e-10	1.28182813960499e-10	1.63278353020053e-09	0.0749228129134983	28
b'1'	1960000	1974000	1106	1.57410683153537e-09	6.65395804276611e-10	2.14249062156925e-09	0.157410683153537	71
b'1'	1974000	1988000	1289	1.04049847971093e-09	3.2016974832587e-10	1.83414031529454e-09	0.104049847971093	45
b'1'	1988000	2002000	1433	6.50871723219932e-10	1.60318558464052e-10	1.61129269375044e-09	0.0650871723219932	22
b'1'	2002000	2016000	1545	1.00132367953306e-09	2.57632165606108e-10	1.83200719039929e-09	0.100132367953306	43
b'1'	2016000	2030000	1047	1.26055526256707e-09	4.0431672555007e-10	1.94175869511802e-09	0.126055526256707	58
b'1'	2030000	2044000	1153	5.70968069058213e-10	1.21313294532359e-10	1.52326049175389e-09	0.0570968069058213	18
b'1'	2044000	2058000	1021	1.21034185246959e-09	4.31002832762088e-10	1.89308700732593e-09	0.121034185246959	55
b'1'	2058000	2072000	788	5.91797960195502e-10	7.46204149615532e-11	1.54509756611689e-09	0.0591797960195502	19
b'1'	2072000	2086000	711	3.26087955070323e-10	4.52611380533866e-13	1.24949442857785e-09	0.0326087955070323	6
b'1'	2086000	2100000	734	1.57024907170432e-09	6.61538044445565e-10	2.1386328617382e-09	0.157024907170432	71
b'1'	2100000	2114000	924	7.51270346507623e-10	1.30225031333139e-10	1.63482574757317e-09	0.0751270346507623	28
b'1'	2114000	2128000	658	1.03059267880164e-09	3.10263947416587e-10	1.82423451438526e-09	0.103059267880164	45
b'1'	2128000	2142000	847	8.20413962978907e-10	1.79363644594889e-10	1.73156140380856e-09	0.0820413962978907	33
b'1'	2142000	2156000	721	9.89238524921643e-10	2.45547010994696e-10	1.81992203578788e-09	0.0989238524921643	42
b'1'	2156000	2170000	625	2.37683350307856e-09	1.64165932043632e-09	2.73717876781683e-09	0.237683350307856	91
b'1'	2170000	2184000	1027	1.18287150607956e-09	4.18537497494562e-10	1.91033221441807e-09	0.118287150607956	53
b'1'	2184000	2198000	842	3.97569753017147e-10	4.1179394126135e-11	1.34226781723741e-09	0.0397569753017147	9
b'1'	2198000	2212000	678	5.05965827243293e-10	4.18823777959206e-11	1.45744263014504e-09	0.0505965827243293	14
b'1'	2212000	2226000	911	1.30185741268855e-09	4.09151983665459e-10	1.92993354823338e-09	0.130185741268855	60
b'1'	2226000	2240000	1022	1.62520534605057e-09	7.48551302248467e-10	2.15728315008909e-09	0.162520534605057	74
b'1'	2240000	2254000	801	6.85605754768352e-10	1.41016786403063e-10	1.61793042778809e-09	0.0685605754768352	24
b'1'	2254000	2268000	1424	1.84971914473965e-09	1.08197245906928e-09	2.28002230451042e-09	0.184971914473965	80
b'1'	2268000	2282000	1091	6.48871277859682e-10	1.13400532337833e-10	1.53692345132412e-09	0.0648871277859682	22
b'1'	2282000	2296000	572	6.08038460223749e-10	9.08609149898001e-11	1.56133806614514e-09	0.0608038460223749	20
b'1'	2296000	2310000	731	1.91601646347632e-09	1.0428508181332e-09	2.37876725116497e-09	0.191601646347632	81
b'1'	2310000	2324000	1099	0	0	5.98647054150802e-10	0	1
b'1'	2324000	2338000	1029	5.37032497966804e-11	0	8.15338129960911e-10	0.00537032497966804	1
b'1'	2338000	2352000	782	1.02570037825055e-09	3.05371646865495e-10	1.81934221383417e-09	0.102570037825055	44
b'1'	2352000	2366000	732	7.72513439969644e-10	1.68306288991446e-10	1.6716658314011e-09	0.0772513439969644	30
b'1'	2366000	2380000	1035	1.0095821800845e-09	2.992424583189e-10	1.857975507897e-09	0.10095821800845	43
b'1'	2380000	2394000	742	8.64246452952459e-10	1.82549312549122e-10	1.7467645337883e-09	0.0864246452952459	36
b'1'	2394000	2408000	844	5.82406613468576e-10	9.12033603961838e-11	1.52082364088706e-09	0.0582406613468576	18
b'1'	2408000	2422000	777	1.37883694783861e-09	5.59887342486269e-10	1.99486778529115e-09	0.137883694783861	63
b'1'	2422000	2436000	711	4.95718805328825e-10	3.16353558814528e-11	1.44719560823058e-09	0.0495718805328825	13
b'1'	2436000	2450000	908	5.51316380709814e-10	1.0166160618396e-10	1.50360880340549e-09	0.0551316380709814	16
b'1'	2450000	2464000	809	4.05611429372016e-10	4.92210704810036e-11	1.35030949359228e-09	0.0405611429372016	9
b'1'	2464000	2478000	757	9.88312437282814e-10	2.44620923355866e-10	1.81899594814905e-09	0.0988312437282814	42
b'1'	2478000	2492000	942	8.56462305445721e-10	2.28364972967793e-10	1.74922580745967e-09	0.0856462305445721	35
b'1'	2492000	2506000	1068	3.88785252800855e-10	3.2394893909843e-11	1.33348331702112e-09	0.0388785252800855	8
b'1'	2506000	2520000	1033	2.87422680041739e-10	8.87215017759754e-12	1.18809496124279e-09	0.0287422680041739	5
b'1'	2520000	2534000	951	5.8485377320111e-10	6.76762279671615e-11	1.5381533791225e-09	0.058485377320111	18
b'1'	2534000	2548000	1143	1.17419869803125e-09	3.9955998790974e-10	1.90896995853339e-09	0.117419869803125	52
b'1'	2548000	2562000	923	2.23650777357703e-09	1.40520913809289e-09	2.60526237265529e-09	0.223650777357703	89
b'1'	2562000	2576000	912	6.50829358735082e-10	1.60276193979201e-10	1.61125032926559e-09	0.0650829358735082	22
b'1'	2576000	2590000	687	5.96919639326336e-10	1.05716386253944e-10	1.53533666674482e-09	0.0596919639326336	19
b'1'	2590000	2604000	822	1.85597909546314e-09	1.08823240979277e-09	2.28628225523391e-09	0.185597909546314	80
b'1'	2604000	2618000	473	4.0931059650801e-10	5.29202376169975e-11	1.35400866072827e-09	0.040931059650801	9
b'1'	2618000	2632000	1089	1.44164602967077e-09	6.15940545129021e-10	2.050340774279e-09	0.144164602967077	66
b'1'	2632000	2646000	1169	5.03528573509566e-10	3.94451240621933e-11	1.45500537641132e-09	0.0503528573509566	13
b'1'	2646000	2660000	919	1.71224601668102e-09	8.85245559676678e-10	2.23680767745621e-09	0.171224601668102	76
b'1'	2660000	2674000	1185	1.25405163103407e-09	4.17997191466051e-10	1.93941024533926e-09	0.125405163103407	57
b'1'	2674000	2688000	1290	5.77679833451823e-10	8.6476580379431e-11	1.5160968608703e-09	0.0577679833451823	18
b'1'	2688000	2702000	1349	1.51008367090138e-09	6.84218662576557e-10	2.07154522592783e-09	0.151008367090138	68
b'1'	2702000	2716000	949	1.0722762840358e-09	2.80266554013994e-10	1.80684000499683e-09	0.10722762840358	47
b'1'	2716000	2730000	1152	1.79723322771553e-09	8.72582814534509e-10	2.30488455979783e-09	0.179723322771553	78
b'1'	2730000	2744000	1131	1.57225782113393e-09	6.63546793875173e-10	2.14064161116781e-09	0.157225782113393	71
b'1'	2744000	2758000	928	1.00833345671811e-09	2.64641942791162e-10	1.83901696758435e-09	0.100833345671811	43
b'1'	2758000	2772000	1319	5.15183641378749e-10	5.11001919313764e-11	1.4666604442805e-09	0.0515183641378749	15
b'1'	2772000	2786000	1376	1.01665280014588e-09	3.06313078380285e-10	1.86504612795838e-09	0.101665280014588	44
b'1'	2786000	2800000	998	9.99772217336979e-10	2.56080703410032e-10	1.83045572820322e-09	0.0999772217336979	43
b'1'	2800000	2814000	1080	2.38320072526129e-10	0	1.15337906221837e-09	0.0238320072526129	4
b'1'	2814000	2828000	1119	7.93536662855284e-10	1.52486344471266e-10	1.70468410368494e-09	0.0793536662855284	31
b'1'	2828000	2842000	1471	7.6521469145698e-10	1.44169376282495e-10	1.64877009252253e-09	0.076521469145698	29
b'1'	2842000	2856000	1485	1.16386613100774e-09	3.89227420886231e-10	1.89863739150988e-09	0.116386613100774	52
b'1'	2856000	2870000	1472	1.23490028997266e-09	3.78661752955663e-10	1.91610372252362e-09	0.123490028997266	56
b'1'	2870000	2884000	922	1.77367169204837e-09	8.6676335750694e-10	2.24302762394638e-09	0.177367169204837	78
b'1'	2884000	2898000	1111	1.23833760409681e-09	3.82099067079818e-10	1.91954103664777e-09	0.123833760409681	56
b'1'	2898000	2912000	1542	1.24191874876207e-09	3.85680211745076e-10	1.92312218131303e-09	0.124191874876207	56
b'1'	2912000	2926000	1489	7.91280704196431e-10	1.50230385812413e-10	1.70242814502608e-09	0.0791280704196431	31
b'1'	2926000	2940000	1203	7.1074934716953e-10	1.30402651469578e-10	1.64013885696568e-09	0.071074934716953	25
b'1'	2940000	2954000	1546	1.81913181977719e-10	0	1.0924295831424e-09	0.0181913181977719	2
b'1'	2954000	2968000	681	2.46096311878401e-09	1.62306955869344e-09	2.83842261577587e-09	0.246096311878401	91
b'1'	2968000	2982000	946	1.91446781727248e-09	1.04130217192935e-09	2.37721860496112e-09	0.191446781727247	81
b'1'	2982000	2996000	1102	1.30284242434175e-09	4.10136995318658e-10	1.93091855988658e-09	0.130284242434175	60
b'1'	2996000	3010000	1060	1.88547710929767e-09	1.0351004124606e-09	2.36424894813871e-09	0.188547710929767	81
b'1'	3010000	3024000	1096	7.31184878168801e-10	1.5083818246885e-10	1.66057438796495e-09	0.0731184878168801	27
b'1'	3024000	3038000	1124	2.14866936878206e-09	1.28358423747461e-09	2.55968077147212e-09	0.214866936878206	87
b'1'	3038000	3052000	905	4.36598932565047e-10	4.83071810353901e-11	1.38019532247797e-09	0.0436598932565047	11
b'1'	3052000	3066000	1264	5.5409569027828e-10	1.04440915752426e-10	1.50638811297396e-09	0.055409569027828	17
b'1'	3066000	3080000	1098	5.18850013419411e-10	5.4766563972039e-11	1.47032681632116e-09	0.0518850013419411	15
b'1'	3080000	3094000	1258	3.41191995626626e-10	9.21731732403267e-12	1.32328267385204e-09	0.0341191995626626	7
b'1'	3094000	3108000	1122	6.9996143394532e-10	1.55372465580031e-10	1.63228610696506e-09	0.069996143394532	25
b'1'	3108000	3122000	997	4.70625908447871e-10	1.1739518877379e-10	1.38371736367143e-09	0.0470625908447871	12
b'1'	3122000	3136000	1380	7.15418361965175e-10	1.35071666265223e-10	1.64480787176133e-09	0.0715418361965175	26
b'1'	3136000	3150000	1649	9.3830779417177e-10	2.1009930899281e-10	1.76877330164489e-09	0.093830779417177	39
b'1'	3150000	3164000	1371	3.99941366719642e-10	4.35510078286295e-11	1.3446394309399e-09	0.0399941366719642	9
b'1'	3164000	3178000	1367	6.99227232502578e-10	1.54638264137289e-10	1.63155190552231e-09	0.0699227232502578	25
b'1'	3178000	3192000	1616	1.7378558047946e-10	0	1.08430198164414e-09	0.017378558047946	2
b'1'	3192000	3206000	1302	2.00075740053779e-09	1.19205081828183e-09	2.4410223639128e-09	0.200075740053779	84
b'1'	3206000	3220000	1263	1.2398049852506e-09	3.83566448233609e-10	1.92100841780156e-09	0.12398049852506	56
b'1'	3220000	3234000	1300	4.22722520313162e-10	3.44307687835054e-11	1.36631891022609e-09	0.0422722520313162	10
b'1'	3234000	3248000	1325	1.30007579919845e-09	4.07370370175361e-10	1.92815193474328e-09	0.130007579919845	60
b'1'	3248000	3262000	1407	1.51310839543855e-09	6.87243387113733e-10	2.07456995046501e-09	0.151310839543855	69
b'1'	3262000	3276000	1380	2.22669535329851e-10	0	1.13772852502209e-09	0.0222669535329851	3
b'1'	3276000	3290000	1252	1.92309681490908e-09	1.04993116956596e-09	2.38584760259773e-09	0.192309681490908	82
b'1'	3290000	3304000	1011	2.36892837951805e-10	0	1.15195182764405e-09	0.0236892837951805	4
b'1'	3304000	3318000	1001	5.27206333295292e-10	6.31228838479199e-11	1.47868313619704e-09	0.0527206333295292	15
b'1'	3318000	3332000	670	4.63474035796571e-10	1.10243316122491e-10	1.37656549102013e-09	0.0463474035796571	12
b'1'	3332000	3346000	610	1.72994833284544e-09	8.49332158419746e-10	2.23873338027157e-09	0.172994833284544	76
b'1'	3346000	3360000	1184	9.59985402026284e-10	2.31776916847324e-10	1.79045090949941e-09	0.0959985402026284	41
b'1'	3360000	3374000	988	1.92558336096695e-09	1.05241771562382e-09	2.38833414865559e-09	0.192558336096695	82
b'1'	3374000	3388000	1008	3.14075281108433e-10	0	1.23748175461596e-09	0.0314075281108433	6
